Name	Type	Waves	Diff Low%	Diff High%	Planet	Notes
Big Prefect	Retro	17	38%	45%	K'tithrak	
Sleepy Timeshare	Retro	13	86%	99%	K'tithrak	
Dizzy Scintilla	Retro	9	34%	41%	K'tithrak	
Jittery Volute	Retro	17	2%	9%	K'tithrak	
Beneficial Villainess	Retro	5	35%	45%	K'tithrak	
Soulful Clawfoot	Retro	17	46%	53%	K'tithrak	
Flippant Rentier	Retro	9	83%	90%	K'tithrak	
Elaborate Townsman	Retro	17	34%	44%	K'tithrak	
Sentimental Mandamus	Retro	9	62%	78%	K'tithrak	
Big Frosh	Supernova	15	55%	70%	Epiales	
Unconscious Pushrod	Supernova	10	22%	32%	Epiales	
Mammoth Deadweight	Supernova	8	96%	100%	Epiales	
Terrific Pachysandra	Chicken Invasion	20	28%	48%	Epiales	
Blind Manoeuvre	Chicken Invasion	30	83%	100%	Alpha Epiales	
Showy Wallboard	Darkness	7	8%	15%	Alpha Epiales	
Gigantic Permission	Squawk Block	12	68%	80%	Alpha Epiales	
Wilted Phonebook	Chicken Invasion	32	15%	47%	Psi Epiales	
Double Obeisance	Comet Chase	13	64%	77%	Psi Epiales	
Pesky Crafter	Chicken Invasion	18	84%	100%	Psi Epiales	
Leading Platform	Feather Fields	5	80%	85%	Psi Epiales	
Weepy Propolis	Chicken Invasion	8	37%	45%	Psi Epiales	
Old-fashioned Delimitation	Boss Rush	9	84%	93%	Chi Epiales	
Purple Fireback	Chicken Invasion	27	32%	59%	Chi Epiales	
Naughty Barberry	Boss Rush	4	64%	68%	Chi Epiales	
Witty Reoccupation	Double Team	7	68%	75%	Phi Epiales	Chef + King Crab
Grave Spangle	Chicken Invasion	36	16%	52%	Phi Epiales	
Gentle Zester	Chicken Invasion	18	28%	46%	Phi Epiales	
Delightful Obliviousness	Chicken Invasion	30	44%	74%	Phi Epiales	
Profitable Manufacturer	Chicken Invasion	27	43%	70%	Phi Epiales	
Vivacious Maintenance	Chicken Invasion	10	60%	70%	Epsilon Epiales	
Bustling Tea	Chicken Invasion	5	58%	63%	Epsilon Epiales	
Enchanted Draper	Darkness	12	54%	66%	Epsilon Epiales	
Occasional Sobriquet	Darkness	18	21%	39%	Epsilon Epiales	
Playful Platform	Chicken Invasion	6	62%	68%	Epsilon Epiales	
Pristine Dudgeon	Chicken Invasion	28	90%	100%	Tau Epiales	
Black-and-white Counteroffer	Key Rush	20	25%	100%	Tau Epiales	
Oblong Farrago	Feather Fields	12	16%	28%	Tau Epiales	
Shocking Aperitif	Boss Rush	4	68%	72%	Tau Epiales	
Familiar Handclasp	Chicken Invasion	7	48%	55%	Sigma Epiales	
Profuse Photoreceptor	Chicken Invasion	20	51%	71%	Sigma Epiales	
Lonely Enucleation	Darkness	7	85%	92%	Theta Epiales	
Old Childe	Boss Rush	5	12%	17%	Theta Epiales	
Meek Dockyard	Darkness	20	5%	25%	Theta Epiales	
Colossal Catbird	Comet Chase	14	8%	22%	Theta Epiales	
Tame Farrago	Boss Rush	9	67%	76%	Theta Epiales	
Annual Capo	Chicken Invasion	9	53%	62%	Theta Epiales	
Healthy Union	Chicken Invasion	30	41%	71%	Kappa Epiales	
Prestigious Chinaberry	Boss Rush	5	73%	78%	Lambda Epiales	
Safe Tennis	Chicken Invasion	18	64%	82%	Lambda Epiales	
Sneaky Woodlot	Chicken Invasion	7	93%	100%	Lambda Epiales	
Hefty Delivery	Supernova	6	74%	80%	Pandaie	
Exalted Goddaughter	Supernova	12	22%	34%	Pandaie	
Rigid Clangor	Squawk Block	16	57%	73%	Pandaie	
Humiliating Guanine	Chicken Invasion	5	10%	15%	Pandaie	
Babyish Amine	Chicken Invasion	30	15%	45%	Pandaie	
Damaged Krater	Chicken Invasion	32	22%	54%	Pandaie	
Weird Reaction	Squawk Block	6	28%	34%	Pandaie	
Frizzy Purposiveness	Chicken Invasion	24	75%	99%	Pandaie	
Ignorant Pushrod	Comet Chase	8	25%	33%	Alpha Pandaie	
Stable Intention	Boss Rush	7	9%	16%	Alpha Pandaie	
Acceptable Region	Squawk Block	11	47%	58%	Alpha Pandaie	
Past Autobahn	Chicken Invasion	14	75%	89%	Psi Pandaie	
Jumpy Departure	Chicken Invasion	27	53%	80%	Psi Pandaie	
Chief Autoclave	Squawk Block	6	74%	80%	Psi Pandaie	
Rude Penstemon	Chicken Invasion	18	83%	100%	Psi Pandaie	
Spotted Surmise	Squawk Block	7	90%	97%	Psi Pandaie	
Knowledgeable Ammonite	Boss Rush	7	94%	100%	Chi Pandaie	
Wretched Despoliation	Comet Chase	6	19%	25%	Chi Pandaie	
Feline Enucleation	Squawk Block	10	83%	93%	Chi Pandaie	
Grumpy Enumerator	Comet Chase	12	98%	100%	Chi Pandaie	
Perfumed Impassivity	Chicken Invasion	36	6%	42%	Chi Pandaie	
Natural Variation	Boss Rush	10	0%	10%	Chi Pandaie	
Squiggly Redolence	Supernova	9	8%	17%	Rhapso	
Able Arrival	Supernova	8	52%	60%	Rhapso	
Mindless Sward	Chicken Invasion	8	30%	38%	Rhapso	
Defensive Priority	Chicken Invasion	24	62%	86%	Rhapso	
Dead Departure	Boss Rush	4	56%	60%	Rhapso	
Leafy Basket	Squawk Block	18	60%	78%	Rhapso	
Fantastic Emotion	Boss Rush	6	97%	100%	Alpha Rhapso	
Scholarly Restorationist	Chicken Invasion	40	21%	61%	Alpha Rhapso	
Beloved Vindictiveness	Squawk Block	14	83%	97%	Beta Rhapso	
Blind Gimmickry	Chicken Invasion	7	8%	15%	Beta Rhapso	
Carefree Racecourse	Boss Rush	5	7%	12%	Beta Rhapso	
Subdued Explanation	Chicken Invasion	28	61%	89%	Beta Rhapso	
Mortified Cordial	Chicken Invasion	36	48%	84%	Beta Rhapso	
Hidden Unkindness	Chicken Invasion	28	90%	100%	Gamma Rhapso	
Damp Disputation	Chicken Invasion	6	97%	100%	Gamma Rhapso	
Accurate Volume	Boss Rush	6	82%	88%	Gamma Rhapso	
Lined Fantasyland	Supernova	5	96%	100%	Cyclopes	
Immense Horsemanship	Supernova	8	55%	63%	Cyclopes	
Pricey Satisfaction	Supernova	14	88%	100%	Cyclopes	
Rotating Ear	Chicken Invasion	10	90%	100%	Cyclopes	
Stylish Capo	Chicken Invasion	27	34%	61%	Alpha Cyclopes	
Cluttered Subroutine	Feather Fields	7	52%	59%	Alpha Cyclopes	
Lonely Larch	Comet Chase	10	20%	30%	Alpha Cyclopes	
Weighty Pasteboard	Chicken Invasion	28	78%	100%	Alpha Cyclopes	
Nice Purposiveness	Chicken Invasion	18	21%	39%	Alpha Cyclopes	
Keen Worsted	Chicken Invasion	14	79%	93%	Beta Cyclopes	
Interesting Lionfish	Boss Rush	4	80%	84%	Beta Cyclopes	
Tremendous Ostinato	Chicken Invasion	16	1%	17%	Gamma Cyclopes	
Recent Biped	Chicken Invasion	18	29%	47%	Delta Cyclopes	
Far-off Incompetence	Chicken Invasion	10	38%	48%	Delta Cyclopes	
Talkative Improvement	Comet Chase	9	80%	89%	Delta Cyclopes	
Closed Aerialist	Chicken Invasion	8	45%	53%	Delta Cyclopes	
Stunning Injera	Chicken Invasion	27	90%	100%	Delta Cyclopes	
Improbable Amine	Meteor Storm	15	83%	98%	Umlungu	
Sore Haziness	Meteor Storm	8	2%	10%	Umlungu	
Steel Guanine	Meteor Storm	10	4%	14%	Umlungu	
Pleased Revenue	Meteor Storm	11	85%	96%	Umlungu	
Sad Fibrin	Meteor Storm	5	23%	28%	Umlungu	
Wordy Enjambment	Squawk Block	11	70%	81%	Eta Cyclopes	
Lovable Nonperformance	Supernova	12	22%	34%	Soter	
Heavenly Pointlessness	Supernova	11	48%	59%	Soter	
Sick Steak	Comet Chase	6	13%	19%	Soter	
Repulsive Spangle	Chicken Invasion	10	55%	65%	Soter	
Gargantuan Tondo	Chicken Invasion	18	70%	88%	Soter	
Large Disputant	Chicken Invasion	28	6%	34%	Alpha Soter	
Productive Contribution	Comet Chase	11	2%	13%	Alpha Soter	
Spicy Sister	Key Rush	50	25%	100%	Alpha Soter	
Strident Recording	Chicken Invasion	21	12%	33%	Alpha Soter	
Bogus Perception	Chicken Invasion	40	53%	93%	Beta Soter	
Plaintive Cordage	Chicken Invasion	28	39%	67%	Beta Soter	
Vivid Counteroffer	Feather Fields	12	16%	28%	Beta Soter	
Distorted Quatrain	Chicken Invasion	20	85%	100%	Gamma Soter	
Mixed Billows	Boss Rush	10	48%	58%	Gamma Soter	
Warlike Pillory	Comet Chase	12	41%	53%	Gamma Soter	
Old-fashioned Resolution	Darkness	16	93%	100%	Delta Soter	
Indelible Shuttlecock	Boss Rush	10	98%	100%	Delta Soter	
Concerned Flycatcher	Squawk Block	18	1%	19%	Upsilon Soter	
Pure Debenture	Chicken Invasion	20	77%	97%	Upsilon Soter	
Cultured Heatwave	Feather Fields	10	50%	60%	Upsilon Soter	
Offensive Cockerel	Chicken Invasion	36	37%	73%	Upsilon Soter	
Far-off Fireback	Chicken Invasion	18	88%	100%	Upsilon Soter	
Ecstatic Singer	Comet Chase	9	87%	96%	Upsilon Soter	
Circular Variegation	Chicken Invasion	9	89%	98%	Zeta Soter	
Adept Plasterwork	Darkness	8	98%	100%	Zeta Soter	
Miniature Tongue	Chicken Invasion	32	0%	32%	Zeta Soter	
Personal Deaconess	Supernova	10	66%	76%	Peisenor	
Honest Tablespoonful	Feather Fields	13	17%	30%	Peisenor	
Terrible Houri	Chicken Invasion	36	3%	39%	Peisenor	
Elementary Indigence	Meteor Storm	15	33%	48%	Mw-ene	
Grumpy Pushrod	Meteor Storm	10	50%	60%	Mw-ene	
Blond Village	Meteor Storm	11	26%	37%	Mw-ene	
Shallow Codebook	Meteor Storm	11	41%	52%	Mw-ene	
Mixed Injera	Boss Rush	10	23%	33%	Beta Peisenor	
Gullible Speaker	Chicken Invasion	5	73%	78%	Beta Peisenor	
Mediocre Drake	Feather Fields	8	92%	100%	Beta Peisenor	
Messy Moa	Chicken Invasion	10	46%	56%	Delta Peisenor	
Angry Prefect	Chicken Invasion	32	99%	100%	Delta Peisenor	
Hilarious Shim	Chicken Invasion	40	65%	100%	Delta Peisenor	
Modest Perspicacity	Chicken Invasion	30	24%	54%	Delta Peisenor	
Square Refit	Darkness	27	27%	54%	Delta Peisenor	
Partial Broadtail	Chicken Invasion	36	34%	70%	Upsilon Peisenor	
Gripping Astrobiologist	Boss Rush	6	2%	8%	Upsilon Peisenor	
Welcome Former	Chicken Invasion	18	38%	56%	Upsilon Peisenor	
Sour Salver	Chicken Invasion	24	33%	57%	Upsilon Peisenor	
Agreeable Cordage	Chicken Invasion	10	75%	85%	Upsilon Peisenor	
Pitiful Arrival	Darkness	27	46%	73%	Upsilon Peisenor	
Confused Limeade	Squawk Block	17	87%	100%	Tau Peisenor	
Lasting Benefactress	Supernova	11	57%	68%	Patroclus	
Strict Adsorption	Supernova	6	67%	73%	Patroclus	
Bare Marguerite	Chicken Invasion	20	73%	93%	Patroclus	
Brown Jackscrew	Boss Rush	5	52%	57%	Patroclus	
Nautical Scruff	Chicken Invasion	7	83%	90%	Patroclus	
Stained Redolence	Comet Chase	6	92%	98%	Patroclus	
Well-informed Scorch	Chicken Invasion	27	4%	31%	Patroclus	
Radiant Prearrangement	Squawk Block	19	41%	60%	Alpha Patroclus	
Dental Brainwave	Boss Rush	10	35%	45%	Alpha Patroclus	
Mammoth Manoeuvre	Chicken Invasion	36	98%	100%	Psi Patroclus	
Extroverted Clothes	Chicken Invasion	14	4%	18%	Psi Patroclus	
Aromatic Sightseer	Comet Chase	13	96%	100%	Psi Patroclus	
Windy Corpsman	Chicken Invasion	10	41%	51%	Chi Patroclus	
Anxious Clothes	Chicken Invasion	5	2%	7%	Chi Patroclus	
Nifty Zester	Chicken Invasion	24	55%	79%	Chi Patroclus	
Barren Jute	Chicken Invasion	40	2%	42%	Chi Patroclus	
Mortified Mode	Supernova	8	79%	87%	Antinous	
Decent Regency	Feather Fields	12	85%	97%	Antinous	
Waterlogged Romanticist	Feather Fields	13	3%	16%	Antinous	
Victorious Wedding	Chicken Invasion	30	63%	93%	Antinous	
Possible Recrudescence	Boss Rush	9	7%	16%	Antinous	
Offensive Chesterfield	Chicken Invasion	21	73%	94%	Antinous	
Raw Enjambment	Chicken Invasion	18	19%	37%	Antinous	
Far-flung Engine	Darkness	24	18%	42%	Alpha Antinous	
Masculine Childe	Comet Chase	12	23%	35%	Alpha Antinous	
Last Kilim	Chicken Invasion	10	13%	23%	Alpha Antinous	
Hefty Bedroom	Chicken Invasion	24	93%	100%	Alpha Antinous	
Inconsequential Phonebook	Chicken Invasion	18	43%	61%	Alpha Antinous	
Incomparable Chigger	Chicken Invasion	6	33%	39%	Psi Antinous	
Idealistic Gene	Chicken Invasion	20	76%	96%	Psi Antinous	
Noxious Metier	Boss Rush	7	23%	30%	Psi Antinous	
Memorable Towpath	Chicken Invasion	36	20%	56%	Psi Antinous	
Vengeful Bibb	Chicken Invasion	18	31%	49%	Psi Antinous	
Second-hand Confederacy	Chicken Invasion	12	95%	100%	Gamma Antinous	
Expert Manoeuvre	Chicken Invasion	14	41%	55%	Gamma Antinous	
Obese Consequence	Chicken Invasion	9	92%	100%	Gamma Antinous	
Famous Volute	Feather Fields	5	61%	66%	Gamma Antinous	
Aged Drib	Supernova	13	6%	19%	Arethusa	
Aromatic Pressroom	Supernova	10	51%	61%	Arethusa	
Frizzy Antonym	Supernova	10	64%	74%	Arethusa	
Tired Decolletage	Comet Chase	5	40%	45%	Arethusa	
Discrete Gunrunner	Chicken Invasion	32	6%	38%	Arethusa	
Alarming Tutee	Chicken Invasion	36	84%	100%	Arethusa	
Detailed Presence	Chicken Invasion	24	47%	71%	Arethusa	
Perfumed Conserver	Chicken Invasion	10	23%	33%	Alpha Arethusa	
Distant Hopscotch	Chicken Invasion	18	15%	33%	Alpha Arethusa	
Scented Brilliancy	Chicken Invasion	10	78%	88%	Psi Arethusa	
Reflecting Predication	Chicken Invasion	9	38%	47%	Psi Arethusa	
Jolly Lab	Chicken Invasion	10	60%	70%	Psi Arethusa	
Half Stave	Chicken Invasion	20	7%	27%	Psi Arethusa	
Grave Sapwood	Boss Rush	6	29%	35%	Gamma Arethusa	
Innocent Cotyledon	Chicken Invasion	20	46%	66%	Epsilon Arethusa	
Monumental Clawfoot	Comet Chase	10	32%	42%	Epsilon Arethusa	
Practical Euchre	Chicken Invasion	30	66%	96%	Epsilon Arethusa	
Formal Guesstimate	Chicken Invasion	30	68%	98%	Epsilon Arethusa	
Demanding Sluggishness	Comet Chase	13	4%	17%	Epsilon Arethusa	
Utilized Decathlete	Comet Chase	12	40%	52%	Tau Arethusa	
Frightened Bobbin	Chicken Invasion	14	59%	73%	Tau Arethusa	
Well-documented Polyglot	Chicken Invasion	16	41%	57%	Tau Arethusa	
Crisp Song	Supernova	9	26%	35%	Hecamede	
Bright Demagogy	Chicken Invasion	28	84%	100%	Hecamede	
Practical Decile	Chicken Invasion	36	23%	59%	Hecamede	
Dutiful Scarab	Chicken Invasion	7	63%	70%	Hecamede	
Curly Reanalysis	Chicken Invasion	15	78%	93%	Hecamede	
Indolent Beechnut	Meteor Storm	11	68%	79%	Umvelatanqi	
Querulous Passenger	Meteor Storm	10	52%	62%	Umvelatanqi	
Corrupt Beanstalk	Feather Fields	13	38%	51%	Beta Hecamede	
Cluttered Poem	Boss Rush	10	57%	67%	Beta Hecamede	
Knobby Territoriality	Squawk Block	11	38%	49%	Beta Hecamede	
Clueless Town	Chicken Invasion	18	3%	21%	Beta Hecamede	
Windy Precipitator	Feather Fields	7	69%	76%	Gamma Hecamede	
Offensive Supermarket	Supernova	5	57%	62%	Pandaisia	
Modern Disputant	Chicken Invasion	24	34%	58%	Pandaisia	
Lame Sandpit	Chicken Invasion	16	79%	95%	Pandaisia	
Cold Megalopolis	Chicken Invasion	24	78%	100%	Pandaisia	
Tattered Gunnel	Chicken Invasion	20	44%	64%	Pandaisia	
Ashamed Codger	Comet Chase	5	81%	86%	Pandaisia	
Gorgeous Gazette	Squawk Block	17	23%	40%	Alpha Pandaisia	
Lazy Molehill	Comet Chase	13	10%	23%	Alpha Pandaisia	
Sniveling Destructor	Chicken Invasion	16	77%	93%	Beta Pandaisia	
Rundown Dreamworld	Chicken Invasion	12	81%	93%	Beta Pandaisia	
Absolute Palfrey	Darkness	9	44%	53%	Beta Pandaisia	
Untried Ganache	Boss Rush	9	56%	65%	Beta Pandaisia	
Cool Aperitif	Boss Rush	3	11%	14%	Beta Pandaisia	
Exemplary Expander	Supernova	13	32%	45%	Hephaestus	
Defiant Centralist	Supernova	12	3%	15%	Hephaestus	
Shoddy Bazar	Boss Rush	8	65%	73%	Hephaestus	
Gorgeous Citron	Squawk Block	17	63%	80%	Hephaestus	
Actual Hydrogel	Chicken Invasion	14	36%	50%	Alpha Hephaestus	
Wavy Glaciation	Comet Chase	15	34%	49%	Alpha Hephaestus	
Cultivated Awareness	Comet Chase	7	91%	98%	Psi Hephaestus	
Stained Sobriquet	Chicken Invasion	15	62%	77%	Psi Hephaestus	
Normal Manufacturer	Darkness	30	98%	100%	Psi Hephaestus	
Far-flung Wipeout	Squawk Block	9	36%	45%	Psi Hephaestus	
Unfolded Satisfaction	Chicken Invasion	12	91%	100%	Psi Hephaestus	
Whole Compulsiveness	Feather Fields	14	6%	20%	Chi Hephaestus	
Definite Dowser	Chicken Invasion	5	73%	78%	Chi Hephaestus	
Calm Inspector	Boss Rush	7	2%	9%	Chi Hephaestus	
Neighboring Entailment	Darkness	16	5%	21%	Phi Hephaestus	
Violent Variation	Darkness	18	53%	71%	Phi Hephaestus	
Linear Fortune	Supernova	7	35%	42%	Thersander	
Zealous Taxman	Supernova	13	61%	74%	Thersander	
Subtle Broadtail	Supernova	12	72%	84%	Thersander	
Far Dustpan	Chicken Invasion	20	92%	100%	Thersander	
Immaculate Mud	Boss Rush	7	71%	78%	Thersander	
Brisk Argument	Chicken Invasion	21	37%	58%	Thersander	
Noted Medlar	Chicken Invasion	10	70%	80%	Thersander	
Slushy Haziness	Boss Rush	10	36%	46%	Thersander	
Flashy Deactivation	Darkness	16	96%	100%	Alpha Thersander	
Negligible Childlessness	Boss Rush	9	52%	61%	Alpha Thersander	
Buoyant Mineshaft	Chicken Invasion	16	37%	53%	Alpha Thersander	
Dependent Awareness	Comet Chase	11	61%	72%	Alpha Thersander	
Hateful Supermarket	Boss Rush	8	90%	98%	Beta Thersander	
Broken Backlight	Feather Fields	6	96%	100%	Beta Thersander	
Jagged Unknowability	Key Rush	20	25%	100%	Beta Thersander	
Private Deaconess	Chicken Invasion	9	74%	83%	Gamma Thersander	
Tepid Beechnut	Squawk Block	12	37%	49%	Gamma Thersander	
Safe Reclassification	Boss Rush	6	0%	6%	Gamma Thersander	
Long Gristmill	Double Team	8	59%	67%	Phi Thersander	U.C.O. 3 + Sweater
Untried Bioscience	Double Team	7	94%	100%	Phi Thersander	Laser Crab + Party Time
Wrathful Gourmand	Chicken Invasion	10	91%	100%	Phi Thersander	
Severe Mansard	Boss Rush	5	83%	88%	Phi Thersander	
Failing Wineskin	Chicken Invasion	6	18%	24%	Phi Thersander	
United Complaint	Double Team	7	51%	58%	Phi Thersander	Chef + Special Forces
Amusing Extrication	Boss Rush	8	62%	70%	Upsilon Thersander	
Abandoned Bottlebrush	Chicken Invasion	9	4%	13%	Upsilon Thersander	
Appropriate Soundscape	Chicken Invasion	7	42%	49%	Upsilon Thersander	
Grizzled Proposer	Chicken Invasion	20	26%	46%	Tau Thersander	
Urban Midland	Double Team	4	53%	57%	Tau Thersander	Sweater + Infini-Chick
Fat Dromedary	Supernova	12	59%	71%	Apis	
Trifling Salver	Supernova	7	33%	40%	Apis	
Nasty Elocution	Chicken Invasion	20	87%	100%	Apis	
Unknown Shellac	Chicken Invasion	14	21%	35%	Alpha Apis	
Bubbly Oysterman	Feather Fields	8	51%	59%	Alpha Apis	
Colorless Meetinghouse	Darkness	12	79%	91%	Alpha Apis	
Steel Copyist	Chicken Invasion	21	16%	37%	Alpha Apis	
Immediate Classroom	Chicken Invasion	10	14%	24%	Alpha Apis	
Skinny Broadtail	Chicken Invasion	9	45%	54%	Beta Apis	
Testy Extent	Chicken Invasion	21	52%	73%	Beta Apis	
Soft Consolidator	Boss Rush	8	82%	90%	Beta Apis	
Fumbling Relegation	Chicken Invasion	8	18%	26%	Beta Apis	
Crisp Retractor	Boss Rush	5	66%	71%	Beta Apis	
Wealthy Judgment	Darkness	7	39%	46%	Beta Apis	
Plain Systematization	Chicken Invasion	40	84%	100%	Delta Apis	
Solid Skittle	Chicken Invasion	10	33%	43%	Delta Apis	
Enraged Surfactant	Boss Rush	5	78%	83%	Delta Apis	
Detailed Routinization	Comet Chase	10	10%	20%	Delta Apis	
Cumbersome Hollowness	Chicken Invasion	10	30%	40%	Delta Apis	
Delightful Innervation	Chicken Invasion	40	92%	100%	Upsilon Apis	
Admirable Classifieds	Comet Chase	9	48%	57%	Upsilon Apis	
Pale Larch	Feather Fields	12	20%	32%	Upsilon Apis	
Costly Scintilla	Boss Rush	4	26%	30%	Upsilon Apis	
Unnatural Stalagmite	Squawk Block	12	12%	24%	Upsilon Apis	
Humiliating Millipede	Chicken Invasion	30	51%	81%	Upsilon Apis	
Outrageous Committee	Meteor Storm	5	72%	77%	Eseasar	
Total Slipknot	Squawk Block	12	55%	67%	Eta Apis	
Charming Waitstaff	Chicken Invasion	7	63%	70%	Eta Apis	
Tiny Boxful	Chicken Invasion	24	76%	100%	Eta Apis	
Hilarious Adverbial	Darkness	15	50%	65%	Rho Apis	
Luminous Centralist	Chicken Invasion	18	94%	100%	Rho Apis	
Alienated Shuffleboard	Supernova	15	48%	63%	Iphidamas	
Jovial Bollworm	Supernova	6	2%	8%	Iphidamas	
Free Trainer	Chicken Invasion	5	5%	10%	Iphidamas	
Royal Transmittance	Chicken Invasion	28	6%	34%	Iphidamas	
Misty Minuet	Boss Rush	8	27%	35%	Iphidamas	
Dependable Pinewood	Comet Chase	6	50%	56%	Alpha Iphidamas	
Spry Selectman	Chicken Invasion	18	34%	52%	Alpha Iphidamas	
Tiny Rounders	Chicken Invasion	40	94%	100%	Alpha Iphidamas	
Zealous Stewpot	Boss Rush	10	29%	39%	Alpha Iphidamas	
Far-off Isinglass	Chicken Invasion	27	81%	100%	Alpha Iphidamas	
Corny Taproot	Feather Fields	6	84%	90%	Alpha Iphidamas	
Definitive Heliotrope	Squawk Block	20	73%	93%	Gamma Iphidamas	
Svelte Birdcage	Key Rush	50	25%	100%	Gamma Iphidamas	
Elaborate Vertex	Chicken Invasion	30	48%	78%	Gamma Iphidamas	
Blushing Patrilineage	Boss Rush	6	5%	11%	Gamma Iphidamas	
Dependable Broil	Chicken Invasion	30	13%	43%	Gamma Iphidamas	
Rich Rentier	Chicken Invasion	6	31%	37%	Gamma Iphidamas	
Rich Revenue	Chicken Invasion	28	7%	35%	Phi Iphidamas	
Incomparable Sobriquet	Squawk Block	12	26%	38%	Upsilon Iphidamas	
Agitated Gracefulness	Darkness	6	32%	38%	Upsilon Iphidamas	
Discrete Enumerator	Squawk Block	7	52%	59%	Upsilon Iphidamas	
Massive Decalogue	Feather Fields	15	37%	52%	Upsilon Iphidamas	
Glistening Engineering	Supernova	10	52%	62%	Poine	
Defensive Prescience	Chicken Invasion	24	37%	61%	Poine	
Excellent Glaciation	Chicken Invasion	14	93%	100%	Poine	
Acidic Device	Chicken Invasion	36	0%	36%	Poine	
Wobbly Minuet	Feather Fields	8	93%	100%	Poine	
Messy Stegosaurus	Chicken Invasion	24	91%	100%	Poine	
Fantastic Satisfaction	Chicken Invasion	36	41%	77%	Alpha Poine	
Sad Kingmaker	Chicken Invasion	40	81%	100%	Alpha Poine	
Acrobatic Handmaid	Chicken Invasion	7	76%	83%	Alpha Poine	
Relieved Beechnut	Boss Rush	5	67%	72%	Beta Poine	
Somber Childhood	Chicken Invasion	16	67%	83%	Beta Poine	
Tan Workpiece	Supernova	6	68%	74%	Thalassa	
Obedient Loess	Supernova	6	46%	52%	Thalassa	
Tangible Poplin	Supernova	12	46%	58%	Thalassa	
Extroverted Basket	Boss Rush	10	61%	71%	Thalassa	
Powerless Switchover	Chicken Invasion	10	50%	60%	Thalassa	
Possible Purebred	Comet Chase	9	28%	37%	Thalassa	
Faithful Starfield	Boss Rush	4	98%	100%	Alpha Thalassa	
Reasonable Stave	Chicken Invasion	12	14%	26%	Alpha Thalassa	
Any Grapeseed	Squawk Block	12	65%	77%	Beta Thalassa	
Earnest Fantasia	Chicken Invasion	21	11%	32%	Beta Thalassa	
Petty Oppositionist	Chicken Invasion	18	94%	100%	Chi Thalassa	
Foolish Subsumption	Comet Chase	14	33%	47%	Delta Thalassa	
Ornery Scriptwriter	Boss Rush	8	7%	15%	Delta Thalassa	
Livid Police	Chicken Invasion	36	92%	100%	Delta Thalassa	
Ample Mom	Chicken Invasion	16	7%	23%	Delta Thalassa	
Soggy Incompetence	Chicken Invasion	24	92%	100%	Delta Thalassa	
Excitable Hair	Chicken Invasion	14	35%	49%	Delta Thalassa	
Normal Volume	Chicken Invasion	5	49%	54%	Epsilon Thalassa	
Robust Arrival	Supernova	12	80%	92%	Peisidice	
Smart Gearhead	Supernova	9	47%	56%	Peisidice	
Subtle Marzipan	Squawk Block	18	46%	64%	Peisidice	
Unnatural Interaction	Chicken Invasion	7	53%	60%	Peisidice	
Snoopy Warlock	Chicken Invasion	14	24%	38%	Alpha Peisidice	
Our Schoolbus	Boss Rush	9	72%	81%	Alpha Peisidice	
Harmful Perianth	Darkness	16	80%	96%	Beta Peisidice	
Harsh Catbird	Chicken Invasion	27	97%	100%	Beta Peisidice	
Free Tidewater	Feather Fields	13	30%	43%	Beta Peisidice	
Antique Mandamus	Chicken Invasion	6	54%	60%	Gamma Peisidice	
Light Waitstaff	Boss Rush	4	0%	4%	Gamma Peisidice	
Steep Loden	Darkness	12	70%	82%	Gamma Peisidice	
Dangerous Fluorite	Boss Rush	9	30%	39%	Gamma Peisidice	
Speedy Frogman	Squawk Block	12	9%	21%	Delta Peisidice	
Regal Coarseness	Chicken Invasion	12	36%	48%	Delta Peisidice	
Novel Variation	Feather Fields	5	2%	7%	Delta Peisidice	
Kindhearted Drama	Chicken Invasion	36	98%	100%	Delta Peisidice	
Lazy Meal	Chicken Invasion	15	68%	83%	Delta Peisidice	
Knowledgeable Malleability	Chicken Invasion	28	35%	63%	Delta Peisidice	
Tempting Hypercar	Chicken Invasion	15	53%	68%	Epsilon Peisidice	
Next Granita	Chicken Invasion	15	71%	86%	Epsilon Peisidice	
General Corm	Boss Rush	8	83%	91%	Epsilon Peisidice	
Unhappy Significance	Boss Rush	4	1%	5%	Epsilon Peisidice	
Generous Contemporaneity	Feather Fields	13	80%	93%	Epsilon Peisidice	
Valuable Sunburst	Comet Chase	7	10%	17%	Epsilon Peisidice	
Spherical Resistivity	Supernova	6	42%	48%	Asbolus	
Bogus Highboy	Supernova	9	67%	76%	Asbolus	
Slimy Possibility	Chicken Invasion	28	44%	72%	Asbolus	
Anchored Micromachine	Squawk Block	10	41%	51%	Asbolus	
Periodic Loquat	Feather Fields	12	17%	29%	Asbolus	
Monumental Combustor	Boss Rush	8	12%	20%	Asbolus	
Violent Robbin	Feather Fields	6	55%	61%	Alpha Asbolus	
Pleased Deactivation	Chicken Invasion	36	8%	44%	Alpha Asbolus	
Limping Doggedness	Chicken Invasion	28	14%	42%	Alpha Asbolus	
Annual Immutability	Chicken Invasion	10	18%	28%	Alpha Asbolus	
Silly Scrunchie	Chicken Invasion	10	86%	96%	Beta Asbolus	
Prize Lodestone	Chicken Invasion	6	47%	53%	Beta Asbolus	
Glittering Provenience	Chicken Invasion	24	63%	87%	Beta Asbolus	
